MCH.Merchant Name,FIN.Transaction Amount,FIN.Transaction Date
GFS MKTPLC #0868,75.02,12/19/2009
FLEXIDISPLAY MARKETING,364.95,12/19/2009
COURTYARD BY MARRIOTT-,195,12/18/2009
COURTYARD BY MARRIOTT-,118.44,12/18/2009
FOX TENT & AWNING,98.3,12/18/2009
DETROIT HITCH,609.06,12/18/2009
LOWES #00734*,519,12/18/2009
SINCLAIR & RUSH INC,58.07,12/18/2009
BANDITOS MEXICAN,25.52,12/18/2009
ABL ELECTRONIC SERVICE,661.58,12/18/2009
MICHIGAN MUNICIPLE LEA,358,12/17/2009
INTUIT *18004INTUIT,225,12/17/2009
ARBOR BREWING COMPANY,87.57,12/17/2009
OFFICE MAX,5.29,12/17/2009
SAMS STORE,-7.19,12/17/2009
STADIUM HARDWARE,27.03,12/17/2009
BEHLER YOUNG CO. THE,18.39,12/17/2009
NAPA AUTO PARTS,67.76,12/17/2009
WW GRAINGER,78.81,12/17/2009
STADIUM HARDWARE,19.95,12/17/2009
STADIUM HARDWARE,19.95,12/17/2009
WOLVERINE RENTAL AND S,404.5,12/17/2009
PAESANO'S RESTAURANT,16.99,12/16/2009
TECHNE INC,144.28,12/16/2009
CONSTRUCTION SAFETY PR,15.45,12/16/2009
THERMO ORION,484.02,12/16/2009
CARPENTER BROS HAR,3.49,12/16/2009
MEIJER INC #64 Q01,28.11,12/16/2009
BUSCH'S #1035,53.99,12/16/2009
KROGER #790,12.21,12/16/2009
GFS MKTPLC #0868,195.9,12/16/2009
LOWES #00734*,19.16,12/16/2009
BEHLER YOUNG CO. THE,73.2,12/16/2009
NAPA AUTO PARTS,2.05,12/16/2009
ALRO STEEL CORPORATION,82.08,12/16/2009
LOWES #00734*,94.36,12/16/2009
WW GRAINGER,39.47,12/16/2009
PLYMOUTH EQUIPMENT REN,73,12/16/2009
ARBOR SPRINGS WATER CO,11.5,12/16/2009
B & H PHOTO-VIDEO.COM,219.15,12/16/2009
CARPENTER BROS HAR,150,12/15/2009
CARPENTER BROS HAR,5,12/15/2009
COURT SERVICES,20,12/15/2009
PC *RUSH.COM,393.26,12/15/2009
LAMINATOR.COM,32.92,12/15/2009
LOWES #00734*,243.03,12/15/2009
LOWES #01750*,66.39,12/15/2009
LOWES #00734*,8.82,12/15/2009
STADIUM HARDWARE,28.55,12/15/2009
DRI*STELLAR*PHOENIX*SW,116.1,12/15/2009
LAWSON PRODUCTS,62.92,12/15/2009
ALRO STEEL CORPORATION,15.95,12/15/2009
